City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
2,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
4,Skibbereen,IE,62.4,overcast clouds,51.55,-9.2667,The West Cork Hotel
6,Mandera,KE,82.85,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
9,Jemnice,CZ,61.95,overcast clouds,49.019,15.5699,Zdeněk Kolibáč
10,Ghanzi,BW,57.4,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
11,Dawei,MM,76.91,moderate rain,14.0833,98.2,Hotel Dawei
12,Ochakiv,UA,77.14,clear sky,46.6128,31.5498,Briz
13,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
14,Marawi,PH,71.65,overcast clouds,7.9986,124.2928,Derogongan Residence
19,Vrangel,RU,71.2,light rain,42.7297,133.0839,"Отель ""БАЛИ"""
20,Peruibe,BR,64.22,broken clouds,-24.32,-46.9983,Hotel Pousada Xapuri
22,Jamestown,US,69.39,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
23,Havre-Saint-Pierre,CA,61.39,broken clouds,50.2334,-63.5986,Auberge Niapiskau
24,Busselton,AU,52.56,overcast clouds,-33.65,115.3333,Observatory Guest House
25,Salalah,OM,75.63,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
26,Chumphon,TH,73.74,overcast clouds,10.3333,98.8333,สกาน จ๋า.
27,College,US,70.09,overcast clouds,64.8569,-147.8028,Pike's Waterfront Lodge
28,Vaini,TO,71.76,light rain,-21.2,-175.2,Keleti Beach Resort
29,Rikitea,PF,69.33,overcast clouds,-23.1203,-134.9692,People ThankYou
30,Hermanus,ZA,57.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
33,Port Elizabeth,ZA,59.29,scattered clouds,-33.918,25.5701,39 On Nile Guest House
34,Kodiak,US,58.51,haze,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
35,Arraial Do Cabo,BR,78.76,few clouds,-22.9661,-42.0278,Pousada Porto Praia
40,Faya,SA,66.72,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
41,Joshimath,IN,72.43,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
44,Mar Del Plata,AR,55.09,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
46,Bredasdorp,ZA,56.52,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
48,Lazaro Cardenas,MX,88.27,few clouds,17.9583,-102.2,quinta antigua
49,Bay Roberts,CA,73.65,few clouds,47.5999,-53.2648,Stonewall Inn
50,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
53,Cockburn Town,TC,82.44,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
54,Gidole,ET,58.66,scattered clouds,5.65,37.3667,Shallom mekaneyesus church
55,Sao Filipe,CV,76.23,few clouds,14.8961,-24.4956,Hotel Xaguate
56,Georgetown,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
57,Severo-Kurilsk,RU,52.14,clear sky,50.6789,156.125,Kak Doma
58,Yellowknife,CA,85.32,few clouds,62.456,-114.3525,The Explorer Hotel
59,Airai,TL,55.78,scattered clouds,-8.9266,125.4092,Juvinal Martin
61,Tuktoyaktuk,CA,71.6,broken clouds,69.4541,-133.0374,End of The Road Ltd.
62,Nkhotakota,MW,69.89,overcast clouds,-12.9274,34.2961,Sitima Inn
63,General Roca,AR,62.91,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
64,Victoria,HK,85.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
65,Cape Town,ZA,58.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
66,Saint-Philippe,RE,69.35,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
67,Norman Wells,CA,77.04,clear sky,65.282,-126.8329,Heritage Hotel
68,Terrace,CA,79.07,scattered clouds,54.5163,-128.6035,Northern Motor Inn
70,Ahipara,NZ,55.02,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
71,Castro,BR,57.2,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
72,Pasinler,TR,67.19,overcast clouds,39.9803,41.6764,Kır Evi (Dağa Yakın)
73,Kargasok,RU,51.71,few clouds,59.0556,80.8572,Hotel Kargasok
76,Butaritari,KI,82.99,few clouds,3.0707,172.7902,Isles Sunset Lodge
77,East London,ZA,56.34,clear sky,-33.0153,27.9116,Tu Casa
79,Carballo,ES,64.9,overcast clouds,43.213,-8.691,Pazo do Souto
80,Port Blair,IN,81.86,heavy intensity rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
82,Hithadhoo,MV,81.45,overcast clouds,-0.6,73.0833,Scoop Guest House
85,Langxiang,CN,70.43,light rain,46.95,128.8833,Pearl Hotel
87,Pisco,PE,65.01,haze,-13.7,-76.2167,Hotel San Isidro Oficial
88,Andrews,US,82.42,broken clouds,32.3187,-102.5457,Days Inn by Wyndham Andrews Texas
