City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,New Norfolk,-42.7826,147.0587,51.71,57,52,8.7,AU,2021-08-01 02:22:26
1,Kavaratti,10.5669,72.642,81.84,79,16,16.62,IN,2021-08-01 02:22:26
2,Bud,39.447,-86.1758,66.22,89,7,2.68,US,2021-08-01 02:22:27
3,Moissala,8.3404,17.7663,70.97,92,100,3.29,TD,2021-08-01 02:22:27
4,Kapaa,22.0752,-159.319,87.78,69,75,4.0,US,2021-08-01 02:22:27
5,Shimoda,34.6667,138.95,88.11,64,20,7.92,JP,2021-08-01 02:22:28
6,Hobart,-42.8794,147.3294,52.05,64,20,4.0,AU,2021-08-01 02:18:36
7,Gezing,47.9178,13.1299,63.68,98,75,9.22,AT,2021-08-01 02:22:28
8,Martaban,16.5314,97.6111,79.39,86,100,6.6,MM,2021-08-01 02:22:28
9,Kualakapuas,-3.0091,114.3876,84.36,61,57,3.51,ID,2021-08-01 02:22:29
10,Tessalit,20.1986,1.0114,90.32,34,98,10.78,ML,2021-08-01 02:22:29
11,Ginda,30.6945,78.4932,69.42,88,19,1.52,IN,2021-08-01 02:22:29
12,Tsaratanana,-16.7833,47.65,62.38,71,0,12.08,MG,2021-08-01 02:22:30
13,Faya,18.3851,42.4509,62.71,70,27,7.0,SA,2021-08-01 02:22:30
14,Clyde River,70.4692,-68.5914,39.43,93,90,4.61,CA,2021-08-01 02:22:30
15,Busselton,-33.65,115.3333,48.09,70,97,29.91,AU,2021-08-01 02:22:31
16,San Quintin,30.4833,-115.95,71.31,78,52,14.58,MX,2021-08-01 02:22:31
17,Kahului,20.8947,-156.47,85.26,63,20,28.77,US,2021-08-01 02:17:46
18,Ushuaia,-54.8,-68.3,42.46,65,75,8.05,AR,2021-08-01 02:22:31
19,Castro,-24.7911,-50.0119,45.82,90,100,5.93,BR,2021-08-01 02:22:32
20,Tuatapere,-46.1333,167.6833,49.82,92,96,0.85,NZ,2021-08-01 02:22:32
21,Petropavlovsk-Kamchatskiy,53.0452,158.6483,64.99,72,75,8.95,RU,2021-08-01 02:22:32
22,Barrow,71.2906,-156.7887,53.62,96,40,19.57,US,2021-08-01 02:22:33
23,Lagoa,39.05,-27.9833,70.3,89,100,11.45,PT,2021-08-01 02:22:33
24,Hasaki,35.7333,140.8333,93.29,77,15,9.01,JP,2021-08-01 02:22:33
25,Khatanga,71.9667,102.5,69.85,57,100,6.15,RU,2021-08-01 02:22:34
26,Dikson,73.5069,80.5464,39.92,100,100,16.15,RU,2021-08-01 02:22:34
27,Atuona,-9.8,-139.0333,77.09,68,100,13.67,PF,2021-08-01 02:22:34
28,Deep River,46.1001,-77.4995,58.95,98,100,2.19,CA,2021-08-01 02:18:42
29,Ilulissat,69.2167,-51.1,50.02,62,100,4.61,GL,2021-08-01 02:22:35
