City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kapaa,22.0752,-159.319,87.78,76,20,3.0,US,2021-08-01 04:43:25
1,Hobart,-42.8794,147.3294,50.11,73,75,4.0,AU,2021-08-01 04:39:56
2,Beringovskiy,63.05,179.3167,47.75,72,98,6.6,RU,2021-08-01 04:43:25
3,Rikitea,-23.1203,-134.9692,70.27,73,32,18.03,PF,2021-08-01 04:43:26
4,Castro,-24.7911,-50.0119,43.83,96,100,2.86,BR,2021-08-01 04:43:26
5,East London,-33.0153,27.9116,63.54,23,0,5.75,ZA,2021-08-01 04:43:26
6,Lompoc,34.6391,-120.4579,70.79,86,1,6.91,US,2021-08-01 04:39:38
7,Ampanihy,-24.7,44.75,62.67,58,0,6.04,MG,2021-08-01 04:43:27
8,Jamestown,42.097,-79.2353,64.71,92,40,1.99,US,2021-08-01 04:39:18
9,Barrow,71.2906,-156.7887,53.62,81,40,19.57,US,2021-08-01 04:43:27
10,Ushuaia,-54.8,-68.3,46.06,49,40,28.77,AR,2021-08-01 04:42:34
11,Sovetskiy,61.3614,63.5842,62.55,93,100,8.32,RU,2021-08-01 04:43:28
12,Iranshahr,27.2025,60.6848,97.14,32,6,0.0,IR,2021-08-01 04:43:28
13,Mizan Teferi,6.9833,35.5833,61.2,96,100,2.77,ET,2021-08-01 04:43:28
14,Kazachinskoye,57.6953,93.2761,76.06,45,69,3.85,RU,2021-08-01 04:43:29
15,Hermanus,-34.4187,19.2345,55.8,84,62,9.62,ZA,2021-08-01 04:43:29
16,Thompson,55.7435,-97.8558,59.16,77,40,0.0,CA,2021-08-01 04:43:29
17,San Jose Del Palmar,4.9742,-76.2283,71.26,99,99,0.94,CO,2021-08-01 04:43:30
18,Viking,53.1001,-111.7684,73.13,39,26,8.72,CA,2021-08-01 04:43:30
19,Cape Town,-33.9258,18.4232,54.27,90,20,6.91,ZA,2021-08-01 04:41:40
20,Mahebourg,-20.4081,57.7,73.26,68,75,17.27,MU,2021-08-01 04:43:31
21,Port Alfred,-33.5906,26.891,63.81,32,72,8.34,ZA,2021-08-01 04:43:31
22,Busselton,-33.65,115.3333,50.09,63,78,28.99,AU,2021-08-01 04:43:31
23,Los Llanos De Aridane,28.6585,-17.9182,67.75,89,40,18.41,ES,2021-08-01 04:43:31
24,Dowa,-13.654,33.9375,52.07,84,4,2.13,MW,2021-08-01 04:43:32
25,Lebu,-37.6167,-73.65,45.52,79,3,13.8,CL,2021-08-01 04:43:32
26,Albany,42.6001,-73.9662,60.53,82,34,2.53,US,2021-08-01 04:43:32
27,New Norfolk,-42.7826,147.0587,48.76,52,41,8.12,AU,2021-08-01 04:43:33
28,Lasa,46.6166,10.7002,62.06,93,96,1.03,IT,2021-08-01 04:43:33
29,Tuktoyaktuk,69.4541,-133.0374,66.2,77,75,10.36,CA,2021-08-01 04:43:34
30,Gidam,18.9833,81.4,80.71,74,100,13.02,IN,2021-08-01 04:43:34
31,Natal,-5.795,-35.2094,74.05,94,40,10.36,BR,2021-08-01 04:43:34
32,Port Elizabeth,-33.918,25.5701,48.49,81,0,3.44,ZA,2021-08-01 04:43:34
33,Mount Isa,-20.7333,139.5,91.17,21,75,9.22,AU,2021-08-01 04:43:35
34,Boende,-0.2167,20.8667,71.06,84,86,2.08,CD,2021-08-01 04:43:35
35,Dauriya,49.9333,116.8667,71.58,41,12,10.0,RU,2021-08-01 04:43:35
36,Havre-Saint-Pierre,50.2334,-63.5986,55.76,94,90,5.75,CA,2021-08-01 04:43:36
37,Egvekinot,66.3167,-179.1667,41.32,61,86,1.97,RU,2021-08-01 04:43:36
38,Hasaki,35.7333,140.8333,93.29,76,9,11.7,JP,2021-08-01 04:39:05
39,Khatanga,71.9667,102.5,72.7,50,100,2.89,RU,2021-08-01 04:43:37
40,Butaritari,3.0707,172.7902,82.62,71,15,8.25,KI,2021-08-01 04:43:37
41,Saint-Joseph,-21.3667,55.6167,71.96,75,18,12.21,RE,2021-08-01 04:43:37
42,Faranah,10.0404,-10.7434,69.12,96,100,6.87,GN,2021-08-01 04:43:38
43,Bluff,-46.6,168.3333,48.79,91,93,2.3,NZ,2021-08-01 04:43:38
44,Provideniya,64.3833,-173.3,45.52,78,96,6.11,RU,2021-08-01 04:43:38
45,San Patricio,28.017,-97.5169,84.85,77,30,13.56,US,2021-08-01 04:43:39
46,Constitucion,-35.3333,-72.4167,50.61,71,0,5.79,CL,2021-08-01 04:43:39
47,Grindavik,63.8424,-22.4338,53.55,100,90,6.91,IS,2021-08-01 04:43:39
48,Kieta,-6.2167,155.6333,82.06,81,62,7.76,PG,2021-08-01 04:43:40
49,Nikolskoye,59.7035,30.7861,62.78,81,87,5.64,RU,2021-08-01 04:43:40
50,Bredasdorp,-34.5322,20.0403,55.27,93,97,6.91,ZA,2021-08-01 04:43:40
51,Aguimes,27.9054,-15.4461,68.67,73,20,27.63,ES,2021-08-01 04:43:41
52,Victoria,22.2855,114.1577,90.25,79,100,1.01,HK,2021-08-01 04:43:41
53,Aksha,50.2814,113.2867,67.69,68,70,7.07,RU,2021-08-01 04:43:41
54,Banda Aceh,5.5577,95.3222,86.16,63,100,17.76,ID,2021-08-01 04:43:42
55,Baykit,61.67,96.37,74.84,41,87,3.02,RU,2021-08-01 04:43:42
56,Bathsheba,13.2167,-59.5167,81.21,78,20,16.11,BB,2021-08-01 04:43:42
57,Faanui,-16.4833,-151.75,77.18,67,60,15.08,PF,2021-08-01 04:43:43
58,Dunga Bunga,29.7493,73.2432,97.83,42,2,7.38,PK,2021-08-01 04:43:43
59,Mataura,-46.1927,168.8643,48.47,99,100,0.85,NZ,2021-08-01 04:43:43
60,Grand Gaube,-20.0064,57.6608,73.38,64,2,11.01,MU,2021-08-01 04:43:44
61,Puerto Escondido,15.85,-97.0667,80.92,84,82,5.88,MX,2021-08-01 04:43:44
62,Puerto Ayora,-0.7393,-90.3518,71.55,93,5,7.0,EC,2021-08-01 04:43:44
63,Saskylakh,71.9167,114.0833,83.17,23,7,12.91,RU,2021-08-01 04:43:44
64,Levelland,33.5873,-102.378,83.25,71,97,12.39,US,2021-08-01 04:43:45
65,Uruguaiana,-29.7547,-57.0883,44.53,100,0,3.44,BR,2021-08-01 04:39:51
66,Klaksvik,62.2266,-6.589,45.52,79,100,11.23,FO,2021-08-01 04:43:45
67,Issoire,45.55,3.25,54.66,91,79,0.6,FR,2021-08-01 04:43:46
68,Glendive,47.1053,-104.7125,76.62,37,1,4.61,US,2021-08-01 04:43:46
69,Saint-Philippe,-21.3585,55.7679,72.95,81,38,13.56,RE,2021-08-01 04:43:46
70,Punta Arenas,-53.15,-70.9167,46.51,66,40,19.57,CL,2021-08-01 04:43:47
71,Lavrentiya,65.5833,-171.0,41.18,92,100,4.05,RU,2021-08-01 04:43:47
72,Saint-Francois,46.4154,3.9054,58.17,97,0,4.61,FR,2021-08-01 04:43:47
73,Srednekolymsk,67.45,153.6833,39.85,93,100,17.25,RU,2021-08-01 04:43:48
74,Komsomolskiy,40.4272,71.7189,81.82,47,40,2.3,UZ,2021-08-01 04:43:48
75,Ulaangom,49.9811,92.0667,70.84,37,100,11.7,MN,2021-08-01 04:43:48
76,Malyye Derbety,47.9547,44.6808,88.29,22,0,5.93,RU,2021-08-01 04:43:49
77,Norman Wells,65.282,-126.8329,77.04,44,40,2.3,CA,2021-08-01 04:43:49
78,Vanino,49.0869,140.2543,59.34,83,100,8.1,RU,2021-08-01 04:43:49
79,Pisco,-13.7,-76.2167,62.65,82,90,6.91,PE,2021-08-01 04:43:49
80,Carnarvon,-24.8667,113.6333,66.27,58,90,5.75,AU,2021-08-01 04:43:50
81,College,64.8569,-147.8028,76.98,46,75,6.91,US,2021-08-01 04:43:50
82,Borzna,51.2546,32.4269,73.53,61,11,6.33,UA,2021-08-01 04:43:50
83,Sur,22.5667,59.5289,93.76,49,34,7.43,OM,2021-08-01 04:43:51
84,Yellowknife,62.456,-114.3525,72.12,56,20,6.91,CA,2021-08-01 04:43:51
85,Marawi,7.9986,124.2928,87.96,47,43,3.69,PH,2021-08-01 04:43:51
86,Ahipara,-35.1667,173.1667,56.48,75,79,8.12,NZ,2021-08-01 04:43:52
87,Cidreira,-30.1811,-50.2056,54.48,91,100,10.29,BR,2021-08-01 04:41:14
88,Duluth,46.7833,-92.1066,69.28,73,1,1.01,US,2021-08-01 04:38:59
89,Hualmay,-11.0964,-77.6139,62.82,86,22,7.74,PE,2021-08-01 04:43:52
90,Isangel,-19.55,169.2667,73.51,56,5,14.97,VU,2021-08-01 04:43:52
91,Pevek,69.7008,170.3133,35.98,80,93,23.44,RU,2021-08-01 04:43:53
92,Tobol,52.6844,62.5794,83.71,43,17,13.15,KZ,2021-08-01 04:43:53
93,Tarko-Sale,64.9225,77.785,62.04,52,82,5.73,RU,2021-08-01 04:43:53
94,Omaruru,-21.4333,15.9333,49.89,42,0,10.56,NA,2021-08-01 04:43:54
95,Arraial Do Cabo,-22.9661,-42.0278,66.63,58,100,13.24,BR,2021-08-01 04:43:54
96,Berdigestyakh,62.0989,126.6992,86.14,24,13,0.31,RU,2021-08-01 04:43:54
97,Hithadhoo,-0.6,73.0833,81.82,71,53,5.99,MV,2021-08-01 04:43:55
98,Sinnamary,5.3833,-52.95,77.99,86,90,6.76,GF,2021-08-01 04:43:55
99,Maniwaki,46.3834,-75.966,57.74,94,100,1.14,CA,2021-08-01 04:43:55
100,Selfoss,63.9331,-20.9971,53.49,95,100,1.14,IS,2021-08-01 04:43:56
101,Cherskiy,68.75,161.3,48.58,63,100,12.77,RU,2021-08-01 04:43:56
102,Te Anau,-45.4167,167.7167,48.96,94,99,0.38,NZ,2021-08-01 04:43:56
103,Mandalgovi,45.7625,106.2708,72.19,35,63,10.16,MN,2021-08-01 04:43:57
104,Villazon,-22.0866,-65.5942,30.43,70,7,3.98,BO,2021-08-01 04:43:57
105,Antofagasta,-23.65,-70.4,56.48,74,47,4.18,CL,2021-08-01 04:41:30
106,Lulea,65.5842,22.1547,59.07,94,90,5.75,SE,2021-08-01 04:43:57
107,Saint-Pierre,-21.3393,55.4781,73.04,58,0,4.61,RE,2021-08-01 04:43:58
108,Makinsk,52.6292,70.4169,81.23,41,92,7.54,KZ,2021-08-01 04:43:58
109,Dukat,62.55,155.55,38.98,92,100,16.6,RU,2021-08-01 04:43:58
110,Ranfurly,-45.1333,170.1,44.64,95,100,2.55,NZ,2021-08-01 04:43:59
111,Atar,20.5169,-13.0499,82.71,54,66,5.86,MR,2021-08-01 04:43:59
112,Kargat,55.1956,80.2811,75.61,46,12,5.77,RU,2021-08-01 04:43:59
113,Codajas,-3.8367,-62.0569,71.8,69,25,0.65,BR,2021-08-01 04:44:00
114,Yulara,-25.2406,130.9889,71.44,35,0,6.91,AU,2021-08-01 04:44:00
115,Bethel,41.3712,-73.414,63.64,86,1,3.44,US,2021-08-01 04:44:00
116,Severo-Kurilsk,50.6789,156.125,54.48,92,96,16.06,RU,2021-08-01 04:44:01
117,Inverness,57.4791,-4.224,53.58,79,90,1.99,GB,2021-08-01 04:42:12
118,Havelock,34.8791,-76.9013,78.93,94,1,3.44,US,2021-08-01 04:44:01
119,Tasiilaq,65.6145,-37.6368,42.96,81,38,4.52,GL,2021-08-01 04:44:01
120,Mar Del Plata,-38.0023,-57.5575,47.12,29,7,3.0,AR,2021-08-01 04:41:59
121,Severomuysk,56.1481,113.4267,56.68,54,66,4.29,RU,2021-08-01 04:44:02
122,Ishigaki,24.3448,124.1572,86.13,79,75,12.66,JP,2021-08-01 04:44:02
123,Namatanai,-3.6667,152.4333,82.98,70,26,3.62,PG,2021-08-01 04:44:02
124,Bengkulu,-3.8004,102.2655,83.23,71,13,6.24,ID,2021-08-01 04:44:03
125,Liverpool,53.4106,-2.9779,56.68,79,75,3.0,GB,2021-08-01 04:41:38
126,Cooma,-36.2333,149.1333,46.17,76,75,12.66,AU,2021-08-01 04:44:03
