City_ID,City,Lat,Lng,Current Weather,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Arlit,18.7369,7.3853,scattered clouds,97.61,26,28,10.11,NE,2021-08-01 18:58:41
1,Mataura,-46.1927,168.8643,broken clouds,39.47,98,64,3.74,NZ,2021-08-01 18:54:59
2,Kapaa,22.0752,-159.319,light rain,80.58,83,93,1.01,US,2021-08-01 18:58:14
3,Ushuaia,-54.8,-68.3,clear sky,46.06,61,0,5.75,AR,2021-08-01 18:55:05
4,Skibbereen,51.55,-9.2667,overcast clouds,62.4,66,99,11.3,IE,2021-08-01 19:04:01
5,Albany,42.6001,-73.9662,light rain,76.39,66,55,8.1,US,2021-08-01 18:55:23
6,Mandera,3.9366,41.867,overcast clouds,82.85,48,95,21.9,KE,2021-08-01 19:02:17
7,Tadine,-21.55,167.8833,broken clouds,66.78,56,61,12.1,NC,2021-08-01 19:04:02
8,Saskylakh,71.9167,114.0833,clear sky,65.25,49,0,5.37,RU,2021-08-01 19:02:53
9,Jemnice,49.019,15.5699,overcast clouds,61.95,89,100,8.9,CZ,2021-08-01 19:04:02
10,Ghanzi,-21.5667,21.7833,clear sky,57.4,38,0,8.03,BW,2021-08-01 19:04:03
11,Dawei,14.0833,98.2,moderate rain,76.91,92,100,7.72,MM,2021-08-01 19:04:03
12,Ochakiv,46.6128,31.5498,clear sky,77.14,67,0,10.65,UA,2021-08-01 19:04:04
13,Avarua,-21.2078,-159.775,light rain,77.05,78,75,21.85,CK,2021-08-01 18:58:29
14,Marawi,7.9986,124.2928,overcast clouds,71.65,94,100,3.78,PH,2021-08-01 18:54:09
15,Khorramshahr,30.4397,48.1664,clear sky,103.12,10,0,4.41,IR,2021-08-01 19:04:04
16,Upernavik,72.7868,-56.1549,scattered clouds,44.2,75,33,13.2,GL,2021-08-01 18:58:53
17,Ixtapa,20.7,-105.2,clear sky,90.23,70,3,5.01,MX,2021-08-01 18:53:46
18,Punta Arenas,-53.15,-70.9167,broken clouds,46.51,66,75,14.97,CL,2021-08-01 18:58:09
19,Vrangel,42.7297,133.0839,light rain,71.2,89,100,17.02,RU,2021-08-01 19:04:05
20,Peruibe,-24.32,-46.9983,broken clouds,64.22,82,84,3.89,BR,2021-08-01 19:03:31
21,Taoudenni,22.6783,-3.9836,overcast clouds,105.64,17,100,9.6,ML,2021-08-01 18:59:33
22,Jamestown,42.097,-79.2353,overcast clouds,69.39,93,100,4.0,US,2021-08-01 18:58:09
23,Havre-Saint-Pierre,50.2334,-63.5986,broken clouds,61.39,74,61,19.98,CA,2021-08-01 19:04:06
24,Busselton,-33.65,115.3333,overcast clouds,52.56,76,100,8.21,AU,2021-08-01 18:58:16
25,Salalah,17.0151,54.0924,overcast clouds,75.63,95,100,4.52,OM,2021-08-01 19:00:21
26,Chumphon,10.3333,98.8333,overcast clouds,73.74,93,100,8.32,TH,2021-08-01 19:04:06
27,College,64.8569,-147.8028,overcast clouds,70.09,70,100,1.68,US,2021-08-01 19:03:09
28,Vaini,-21.2,-175.2,light rain,71.76,83,75,21.85,TO,2021-08-01 18:58:16
29,Rikitea,-23.1203,-134.9692,overcast clouds,69.33,59,100,23.89,PF,2021-08-01 18:54:58
30,Hermanus,-34.4187,19.2345,overcast clouds,57.9,80,97,7.27,ZA,2021-08-01 18:54:11
31,Oranjemund,-28.55,16.4333,clear sky,58.93,65,1,8.08,NA,2021-08-01 19:03:29
32,Honningsvag,70.9821,25.9704,light rain,44.35,93,75,12.66,NO,2021-08-01 19:04:07
33,Port Elizabeth,-33.918,25.5701,scattered clouds,59.29,82,40,27.63,ZA,2021-08-01 18:58:39
34,Kodiak,57.79,-152.4072,haze,58.51,82,75,5.75,US,2021-08-01 18:58:47
35,Arraial Do Cabo,-22.9661,-42.0278,few clouds,78.76,68,20,18.41,BR,2021-08-01 18:58:26
36,Djibo,14.1022,-1.6306,scattered clouds,90.36,41,37,9.33,BF,2021-08-01 18:54:39
37,New Norfolk,-42.7826,147.0587,few clouds,37.71,83,15,2.24,AU,2021-08-01 18:58:18
38,Novikovo,51.1537,37.8879,clear sky,75.24,50,4,4.5,RU,2021-08-01 19:04:08
